Ratio,SPY
Sharpe Ratio,0.5714336977437575
Sortino Ratio,0.730114104512929
Treynor Ratio,0.10742726262215531
Calmar Ratio,0.21277128280163188
Sterling Ratio,1.216378488303872
Rachev Ratio,0.8735150255468153
