Trading Day,Median Path,10th Percentile,90th Percentile
61,451.640241173748,403.1783110277445,504.8439844817776
62,451.7740279328719,403.23425489250957,508.05115870727747
63,451.6637314985286,402.4441674914203,507.3192133502374
64,452.4751086150957,401.2465512881503,508.51758537608015
65,452.78440487390924,402.0034818706452,507.80717682715084
66,453.8359684749122,401.51249663359374,508.76007869070565
67,453.58093472011285,400.844230407659,507.13488754676075
68,453.64970238310116,401.2326115474202,509.9171440011191
69,453.5018382292342,401.48899552039046,509.9766454472808
70,453.8398300852716,400.81313153257685,510.8772844956835
71,454.4139863928291,400.39264184065775,511.2895501841037
72,454.9194195180157,400.48379190669806,512.5537409278766
73,455.2521925267255,398.9646023082697,515.7314265747357
74,455.76434769826574,401.1841352072811,515.2128450432555
75,455.8594937754294,401.46724131446587,515.4690543761399
76,455.81399785763006,401.1770805856134,517.177091285279
77,455.6711803785537,401.6468074151282,518.2355594983935
78,456.2763229592174,401.16196572857905,517.120693798251
79,456.2763157223352,400.5806287584687,516.6042322299436
80,454.90410837721663,401.31104698769946,517.3876762952457
81,456.207772166784,400.2882706134668,515.1507607861824
82,455.6538532452704,400.8394279126326,517.3212539306842
83,457.03336459642014,399.8740098047981,517.7928181471896
84,456.8116048322994,398.0981455152761,520.0461360793702
85,457.1885731935714,399.37206924752417,521.2580119656681
86,455.1797402139918,400.33859298610145,521.3721430276215
87,457.58634867630474,399.2118183863828,523.5520341681081
88,457.8328337770084,399.2740907008704,525.8856373250032
89,458.3507376485684,398.8866167646124,524.9463669442185
90,457.7202417196005,399.3449855843499,526.2708170558537
91,457.48724655175465,397.04861104192105,528.4549513471786
92,458.17831706452665,397.9003612512132,528.1176970241056
93,458.89567831351496,397.3210044157802,529.8165799921125
94,458.47668307293895,397.6135539667659,529.8980356671838
95,457.5331620332838,396.8351026665424,529.5029685653581
96,457.6248394727296,397.277162485195,529.4693486225497
97,458.9785852249795,396.7157099906068,529.4914467166908
98,459.06040228556066,396.9587208754651,530.7588866780151
99,458.84341767837236,396.847604026522,530.7305904462183
100,458.7993491685124,396.48637681492374,532.4216500619735
101,458.8393179969627,397.02953602482677,532.7236363579158
102,460.30055057983816,395.85921689863744,533.7418960794428
103,460.95000353548403,394.9700708457222,534.6279731396107
104,460.3194005547846,394.58465718665695,536.2293626654804
105,461.2068372529411,395.0106809024467,536.4799831932115
106,460.43699241402777,394.57790986784306,536.3236233609013
107,461.9174883129948,393.168878689101,536.3692495617305
108,462.11792888106675,393.0238575831467,537.5454769935149
109,463.1693947560998,392.5535717842457,537.5642041809292
110,463.1581844918211,393.8766568668864,535.9430550291127
111,463.2034094912114,393.0377931816284,535.585237081401
112,464.0194404811376,392.88770177867235,537.0788614662201
113,464.21161636433226,392.8399145871652,538.9751287457656
114,463.9499237841451,392.22391978070027,539.5997050146461
115,465.31227548723257,391.28125168682124,541.2030341826403
116,464.42546148020466,392.44719859081533,540.5893237905278
117,464.1550297675989,392.77279179425204,543.9776773979552
118,464.5894379569421,392.2477031953814,545.1856277788471
119,464.36198741760427,392.80746740527456,544.6125234979285
120,465.2502354312995,391.28102532654196,544.2062524096254
121,466.07703011888316,392.0838714127163,544.5136942485029
122,464.50722752510086,391.8441130482902,543.8805916872496
123,465.2330067221407,391.3862068119989,544.6284222249996
124,464.8915371443922,390.38024705403245,545.4439192933932
125,465.52009816615674,391.430300826511,544.846674465907
126,464.3051892444738,390.5638428211391,546.3796544865615
127,464.61829004851836,391.1325108405002,547.3624252030284
128,464.12105974681765,390.86054293270405,548.5675842408933
129,464.3926522023037,391.3710578548566,548.8093748816993
130,465.6712314618104,390.0729441874434,548.5786371094528
131,465.0090416233346,390.5653252018232,552.0018197819816
132,463.63432103794725,390.2767856816814,551.4967232210048
133,464.465110543328,390.97401506317925,550.4200728204287
134,464.2288931915384,392.1335262197631,550.9864907912016
135,465.2072017898663,391.6192799497574,549.9602332758345
136,465.14182792100814,392.2214573206196,550.5919778393841
137,464.35682719583264,391.4080703482117,550.5855734510998
138,464.96476651907903,391.0525645851454,550.9338509661734
139,464.67309288611546,390.95144718396836,551.0046034739032
140,464.11795939126597,390.9165373047621,551.4574033587882
141,463.2605952882734,391.2187735262001,553.2427013671198
142,464.3647985899563,391.7970237268096,554.2959112697496
143,465.53165782092066,393.0071935568112,556.7979015806891
144,465.68599996719865,391.52569842272624,556.0730162653973
145,466.04901491386283,391.6062644162301,559.6311347378413
146,465.7198798432995,391.1030424029861,557.8167007596827
147,465.5462325701873,391.40535756676644,557.8890215338522
148,465.6971761637531,390.3798941873545,557.5340260460663
149,465.7313847914684,391.7886509902306,557.7928092631148
150,466.368861404417,389.5154726342752,561.7521139831583
151,465.6090868063635,390.1798410524624,560.486875521363
152,466.64661648825063,392.05861208143233,560.4468000087312
153,467.5008977578809,390.14540288093986,560.831353864888
154,468.24904526215937,390.64636868324413,560.923373642033
155,467.9253464485124,391.0641158584101,562.795343981358
156,466.68513311206243,390.82957469579753,563.53813877004
157,468.8135130158013,389.90324433472495,563.85112705735
158,467.6458331472046,389.3161483037036,564.3699152322798
159,467.0050634823944,389.5685631999954,566.8812538526289
160,467.2472882635884,391.30177879529856,567.7719766675941
161,467.6529950589712,389.70884297321294,568.1986832897995
162,467.6103997170263,390.8473233082477,570.3314403321116
163,467.42288215116207,391.35175148334565,570.6402661959849
164,468.0730755079602,391.5564089117872,567.443333694221
165,466.17390058652643,390.10052396289984,569.571760606873
166,467.22179047996457,390.61437794822785,570.4925433385717
167,467.7665004483957,391.2502302882077,571.9557942389332
168,468.3366012440746,391.7501473192222,572.4079809576269
169,466.91990326732616,391.37380414113846,573.256850987912
170,467.81546543089735,390.6095953854589,573.7866338217
171,468.0098634004718,389.5669804458628,576.5481212840857
172,468.30698991405234,390.14789845089376,575.9117891034579
173,469.15953549416577,390.1385819295295,576.1091307494472
174,468.52904729386967,389.62436039485374,576.2386286152997
175,469.5997817052017,389.1205404704855,574.5930916557182
176,468.83233174578845,389.505816363497,576.346686102861
177,471.845148217532,390.09323462228986,575.2041742222889
178,470.83127455016006,388.1370405398267,576.9490265313985
179,471.8923337871579,387.86330775448334,579.5265599286058
180,472.9670832543228,388.5865280464346,580.4373465233697
181,473.6933955091564,388.40686553809036,578.0783353033914
182,474.0078717674777,388.5190089805923,580.6222459859426
